Geometria;Prev 2024;Stampo;Pressa;capacità giornaliera;Giorni produzione
FIT507GL;1500000.0;A63;[23];20000;75.0
MAC32018;30000000.0;A98;[4, 5, 7, 11];150000;200.0
MAC32019;18000000.0;A99;[4, 5, 7, 11];150000;120.0
MAC32075;2500000.0;A44;[4, 21, 22, 6, 16];28000;89.28571429
MAC32108;90240.0;A98;[4, 5, 7, 11];150000;0.6016
MAC32118;700000.0;A98;[4, 5, 7, 11];150000;4.666666667
MAC32056;2000000.0;A51;[9];30000;66.66666667
MLC42019;2811600.0;A54;[4, 5, 7, 11, 18];60000;46.86
MLC42047;410400.0;A54;[4, 5, 7, 11, 18];60000;6.84
MLC45013;28800.0;A50;[17];48000;0.6
MLC45044;561600.0;A49;[17, 23];48000;11.7
MLC45055;2736000.0;A82;[13, 17];75000;36.48
MLC45057;926400.0;A83;[13, 17];30000;30.88
MLC71029;11707200.0;A106;[6, 16];60000;195.12
MLC71038;3261600.0;A96;[11, 23, 24, 25];60000;54.36
MLC71075;15000000.0;A85M;[6, 16];106338,4615;141.0590278
MLC71074;5700000.0;A146;[11, 5, 9, 15, 18];106338,4615;53.60243056
MLC25002;16000000.0;A147;[9];159507,6923;100.308642
MLS80016;3864000.0;A23;[6, 9, 12, 15];120000;32.2
MLS80027;1096800.0;A58;[4, 5, 7, 11];140000;7.834285714
MLS80300;4376160.0;A93;[6, 9, 12, 15];45000;97.248
MLS80323;10718400.0;A105;[15, 6, 16];40000;267.96
MLS80333;600000.0;A56;[12, 19];25000;24.0
MLS80334;3312000.0;A92;[10, 21, 22];48000;69.0
MLS80335;14256000.0;A92;[10, 21, 22];48000;297.0
MLS80336;6285840.0;A56;[12, 19];25000;251.4336
MLS80360;15321600.0;A30;[6, 9, 12, 16];120000;127.68
MLS80380;172800.0;A17;[6, 9, 12, 15];96000;1.8
MLS80390;259200.0;A17;[6, 9, 12, 15];96000;2.7
MLS80391;1468800.0;A17;[6, 9, 12, 15];96000;15.3
MLS80392;14702400.0;A17;[6, 9, 12, 15];96000;153.15
MLS80395;1735200.0;A17;[6, 9, 12, 15];96000;18.075
MLS80396;;A148;[9];96000;0.125
MLS80402;326400.0;A17;[6, 9, 12, 15];96000;3.4
MLS80411;115200.0;A17;[6, 9, 12, 15];30000;3.84
MLS82006;144000.0;A23;[6, 9, 12, 15];120000;1.2
MLS82382;396000.0;A17;[6, 9, 12, 15];96000;4.125
MPC45009;81000.0;A53;[17];60000;1.35
MPC45013;3491400.0;A50;[15];55000;63.48
MPC45044;4830800.0;A49;[23];48000;100.6416667
MPC45049;444000.0;A50;[15];55000;8.072727273
MPC45050;187200.0;A49;[17, 23];48000;3.9
MPC45055;2557400.0;A82;[13, 17];75000;34.09866667
MPC45057;4197600.0;A83;[13, 17];30000;139.92
MPC45058;1385600.0;A83;[13, 17];30000;46.18666667
MPC4A055;756000.0;A82;[13, 17];75000;10.08
MPC4A057;115200.0;A83;[13, 17];30000;3.84
MPC75050;2142000.0;A88;[11, 23, 24, 25];65000;32.95384615
MPC75051;3979800.0;A88;[11, 23, 24, 25];65000;61.22769231
MPC75053;3917200.0;A87;[4, 5, 7, 17, 18];42000;93.26666667
MPC75057;604800.0;A78;[4, 5, 7, 24, 25];20000;30.24
MPC75058;473400.0;A78;[4, 5, 7, 24, 25];20000;23.67
MPC75073;5220000.0;A95;[23, 24, 25];65000;80.30769231
MPC75074;2127600.0;A95;[23, 24, 25];65000;32.73230769
MPC75075;3757200.0;A95;[23, 24, 25];65000;57.80307692
MPC75076;894000.0;A95;[23, 24, 25];65000;13.75384615
MPC75079;691200.0;A87;[4, 5, 7, 17, 18];65000;10.63384615
MPC75086;3013200.0;A88;[11, 23, 24, 25];65000;46.35692308
MPC75087;1425600.0;A88;[11, 23, 24, 25];65000;21.93230769
MPC75106;5915400.0;A102;[23, 24, 25];80000;73.9425
MPC75107;2229000.0;A102;[23, 24, 25];80000;27.8625
MPC7A053;460800.0;A87;[4, 5, 7, 17, 18];42000;10.97142857
MPC7A079;36000.0;A87;[4, 5, 7, 17, 18];42000;0.857142857
SIL001BI;1500000.0;A67;[18];25000;60.0
MPC75093;21600.0;A149;[15];75000;0.288
;;;